"Ultra low emission vehicles (ULEVs) [note 1] registered for the first time [note 5] by body type [note 2], make, generic model and fuel type, Great Britain and United Kingdom from 2010 Q1 (January to March)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table VEH0171b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, [c] = confidential.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography [note 3],Units,BodyType [note 2],Make [note 6],Generic model [note 6],Fuel,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
United Kingdom,Number,Buses and coaches,FORD,FORD MODEL MISSING,Battery electric,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,FORD,FORD TRANSIT,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,HIGER,HIGER STEED,Battery electric,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,IRIZAR,IRIZAR I2,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,JOHN DEERE,JOHN DEERE TE400 SERIES,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,MERCEDES,MERCEDES SPRINTER,Battery electric,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,MITSUBISHI,MITSUBISHI MELLOR,Battery electric,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,OPTARE,OPTARE METROCITY,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,OPTARE,OPTARE METRODECKER,Battery electric,0,0,0,0,0,5,20,8,15,12,0,4,14,12,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,OPTARE,OPTARE SOLO,Battery electric,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,17,0,2,10,0,2,0,0,1,6,2,1,0,0,0,0,2,1,0,0
United Kingdom,Number,Buses and coaches,OPTARE,OPTARE VERSA,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,0,0,3,3,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,PEUGEOT,PEUGEOT MODEL MISSING,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
United Kingdom,Number,Buses and coaches,SWITCH,SWITCH METROCITY,Battery electric,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,VAN HOOL,VAN HOOL MODEL MISSING,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,VAN HOOL,VAN HOOL MODEL MISSING,Fuel cell electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,VDL,VDL MODEL MISSING,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
United Kingdom,Number,Buses and coaches,VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,VOLVO,VOLVO MODEL MISSING,Battery electric,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,WRIGHTBUS,WRIGHTBUS ELECTROCITY,Battery electric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,WRIGHTBUS,WRIGHTBUS MODEL MISSING,Battery electric,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,WRIGHTBUS,WRIGHTBUS STREETDECK,Fuel cell electric,0,0,0,10,10,27,2,19,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Buses and coaches,YUTONG,YUTONG TC9,Battery electric,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,TESLA,TESLA MODEL Y,Battery electric,"14,897","8,644","4,234","7,779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,TESLA,TESLA MODEL 3,Battery electric,"7,513","2,284","1,489","7,797","12,707","7,379","7,536","7,164","6,967","5,988","4,029","5,365","5,122","5,350",177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,FORD,FORD KUGA,Plug-in hybrid electric (petrol),"4,243","2,074","1,531","2,240","1,086","1,841","2,440",772,41,"1,678",669,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,NISSAN,NISSAN LEAF,Battery electric,"3,911","2,415","1,399","1,482","2,904","1,609","2,263","2,293","2,614","2,187",773,"2,659","1,683","1,383",760,"1,454",939,961,"1,500","2,015",369,"1,431","1,385","2,482",936,"1,394",762,"1,573",954,"1,322","1,259","1,705","1,081","1,213",865,892,371,611,534,298,283,73,138,201,57,241,201,141,0,0,0,0
United Kingdom,Number,Cars,BMW,BMW I4,Battery electric,"3,778","1,274","1,210",432,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,POLESTAR,POLESTAR 2,Battery electric,"3,420","1,095","1,391","1,434","1,668",784,720,922,599,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,VOLKSWAGEN,VOLKSWAGEN ID3,Battery electric,"2,980","2,160","2,006","2,679","2,597","3,978","3,631",778,"4,179",657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,AUDI,AUDI Q4,Battery electric,"2,862","1,241",766,"1,725","2,435","1,171",252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,MINI,MINI COOPER,Battery electric,"2,504","1,900","1,514","1,372","3,203","1,005","1,351","1,020","1,427","1,273",241,409,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
