"Ultra low emission vehicles (ULEVs) [note 1] registered for the first time by body type [note 2] and fuel type, Great Britain and United Kingdom from January 2010",,,,,,,,,,,,,
Table VEH0171a,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [low] = a low figure but not a real zero.",,,,,,,,,,,,,
Geography [note 3],Date Interval [note 4],Date [note 4],Units,BodyType [note 2],Battery Electric,Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Range extended electric,Hybrid electric (petrol),Hybrid electric (diesel),Fuel cell electric,Other fuels,Total
England,Quarterly,2022 Q1 (January to March),Number,Buses and coaches,97,0,0,0,0,0,0,0,97
England,Quarterly,2022 Q2 (April to June),Number,Buses and coaches,44,0,0,0,0,0,0,0,44
England,Quarterly,2022 Q3 (July to September),Number,Buses and coaches,94,0,0,0,0,0,0,0,94
England,Quarterly,2022 Q4 (October to December),Number,Buses and coaches,164,0,0,0,0,0,0,0,164
England,Monthly,January 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,February 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,March 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,April 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,May 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,June 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,July 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,August 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,September 2010,Number,Buses and coaches,3,0,0,0,0,0,0,0,3
England,Monthly,October 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,November 2010,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,December 2010,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,January 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,February 2011,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,March 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,April 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,May 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,June 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,July 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,August 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,September 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,October 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,November 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,December 2011,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,January 2012,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,February 2012,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,March 2012,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,April 2012,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,May 2012,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,June 2012,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,July 2012,Number,Buses and coaches,3,0,0,0,0,0,0,0,3
England,Monthly,August 2012,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,September 2012,Number,Buses and coaches,4,0,0,0,0,0,0,0,4
England,Monthly,October 2012,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,November 2012,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,December 2012,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,January 2013,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,February 2013,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,March 2013,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,April 2013,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,May 2013,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,June 2013,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,July 2013,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,August 2013,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,September 2013,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,October 2013,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,November 2013,Number,Buses and coaches,10,0,0,0,0,0,0,0,10
England,Monthly,December 2013,Number,Buses and coaches,10,0,0,0,0,0,0,0,10
England,Monthly,January 2014,Number,Buses and coaches,10,0,0,0,0,0,0,0,10
England,Monthly,February 2014,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,March 2014,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,April 2014,Number,Buses and coaches,4,0,0,0,0,0,0,0,4
England,Monthly,May 2014,Number,Buses and coaches,3,0,0,0,0,0,0,0,3
England,Monthly,June 2014,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,July 2014,Number,Buses and coaches,3,0,0,0,0,0,0,0,3
England,Monthly,August 2014,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,September 2014,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,October 2014,Number,Buses and coaches,17,0,0,0,0,0,0,0,17
England,Monthly,November 2014,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,December 2014,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,January 2015,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,February 2015,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,March 2015,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,April 2015,Number,Buses and coaches,6,0,0,0,0,0,0,0,6
England,Monthly,May 2015,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,June 2015,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,July 2015,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,August 2015,Number,Buses and coaches,7,0,0,0,0,0,0,0,7
England,Monthly,September 2015,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,October 2015,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,November 2015,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,December 2015,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,January 2016,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,February 2016,Number,Buses and coaches,3,0,0,0,0,0,0,0,3
England,Monthly,March 2016,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,April 2016,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,May 2016,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,June 2016,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,July 2016,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,August 2016,Number,Buses and coaches,10,0,0,0,0,0,0,0,10
England,Monthly,September 2016,Number,Buses and coaches,15,0,0,0,0,0,0,0,15
England,Monthly,October 2016,Number,Buses and coaches,13,0,0,0,0,0,0,0,13
England,Monthly,November 2016,Number,Buses and coaches,12,0,0,0,0,0,0,0,12
England,Monthly,December 2016,Number,Buses and coaches,3,0,0,0,0,0,0,0,3
England,Monthly,January 2017,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,February 2017,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,March 2017,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,April 2017,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,May 2017,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,June 2017,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,July 2017,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,August 2017,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,September 2017,Number,Buses and coaches,10,0,0,0,0,0,0,0,10
England,Monthly,October 2017,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,November 2017,Number,Buses and coaches,13,0,0,0,0,0,0,0,13
England,Monthly,December 2017,Number,Buses and coaches,5,0,0,0,0,0,2,0,7
England,Monthly,January 2018,Number,Buses and coaches,9,0,0,0,0,0,0,0,9
England,Monthly,February 2018,Number,Buses and coaches,0,0,0,0,0,0,0,0,0
England,Monthly,March 2018,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,April 2018,Number,Buses and coaches,4,0,0,0,0,0,0,0,4
England,Monthly,May 2018,Number,Buses and coaches,10,0,0,0,0,0,0,0,10
